num_groups,expected_m_per_group,n,k,valid_m,time_us,throughput_TFLOPS,bandwidth_GBs
1,32768,2048,2048,32768,227.215,1209.7700721519266,904.521690909491
1,32768,2048,4096,32768,408.806,1344.784112483672,677.1526445306575
1,32768,2048,7168,32768,712.928,1349.4668105390724,538.3135688316352
1,32768,2048,8192,32768,811.542,1354.8425439176283,516.8314147634995
1,32768,2048,12288,32768,1203.0,1370.9621293965088,467.19595677472984
1,32768,2048,16384,32768,1596.9999999999998,1376.9713560125238,441.2292247964935
1,32768,4096,2048,32768,430.396,1277.3255650331323,799.1080958001469
1,32768,4096,4096,32768,809.034,1359.0425467607047,518.4335886996096
1,32768,4096,7168,32768,1403.9999999999998,1370.4738950199433,379.39929344729353
1,32768,4096,8192,32768,1602.0000000000002,1372.6736926042445,356.0707515605493
1,32768,4096,12288,32768,2388.999999999999,1380.717824750105,301.97584261197164
1,32768,4096,16384,32768,3184.0,1381.2960147939698,273.9997587939698
1,32768,7168,2048,32768,744.346,1292.5073477979327,740.9873580297335
1,32768,7168,4096,32768,1392.0,1382.2883251494252,454.9855632183908
1,32768,7168,7168,32768,2422.0,1390.2784310751445,312.1483468208092
1,32768,7168,8192,32768,2781.0,1383.779466816253,286.55798633585044
1,32768,7168,12288,32768,4192.0,1377.0124155114502,229.12586259541982
1,32768,7168,16384,32768,5867.0,1311.8427466221237,191.5925467871144
1,32768,8192,2048,32768,856.04,1284.4161812251764,725.1495163777394
1,32768,8192,4096,32768,1599.0,1375.2490653858663,440.67734333958725
1,32768,8192,7168,32768,2780.0,1384.2772292143884,298.7310043165468
1,32768,8192,8192,32768,3182.9999999999995,1381.729975213321,274.08584103047446
1,32768,8192,12288,32768,4884.0,1350.7513854742015,212.97858149058146
1,32768,8192,16384,32768,6480.000000000001,1357.4217626864197,186.4135111111111
1,32768,12288,2048,32768,1271.0,1297.6140375011803,706.2006734854446
1,32768,12288,4096,32768,2379.9999999999995,1385.9390266084035,415.905774789916
1,32768,12288,7168,32768,4221.0,1367.551775840796,267.2986913053779
1,32768,12288,8192,32768,4811.0,1371.2470934641444,244.1083184369154
1,32768,12288,12288,32768,7268.0,1361.5306342850852,186.97777875619153
1,32768,12288,16384,32768,10390.0,1269.8883092696824,148.55667680461983
1,32768,16384,2048,32768,1705.0000000000002,1289.749710001173,688.8006568914956
1,32768,16384,4096,32768,3180.0,1383.0334940578614,400.9649106918239
1,32768,16384,7168,32768,5598.0,1374.880563492676,254.74515183994282
1,32768,16384,8192,32768,7006.0,1255.508567257779,210.73294433342846
1,32768,16384,12288,32768,10294.000000000002,1281.7310601624245,162.9805323489411
1,32768,16384,16384,32768,13992.999999999998,1257.213324120346,134.2848704352176
2,16384,2048,2048,32768,220.931,1244.1798884900716,949.2339237137386
2,16384,2048,4096,32768,412.51,1332.7090589028146,691.4078979903518
2,16384,2048,7168,32768,718.232,1339.5012674233394,554.7773978324553
2,16384,2048,8192,32768,816.9429999999999,1345.8853650450521,533.9511030757349
2,16384,2048,12288,32768,1211.0,1361.9054018695292,484.8906358381503
2,16384,2048,16384,32768,1603.0,1371.8173771378665,460.5099837804117
2,16384,4096,2048,32768,434.5559999999999,1265.0977408849494,810.7621020075665
