m,k,n,time_us,throughput_TFLOPS,bandwidth_GBs
128,2048,2048,6.073,176.80583303145067,820.1442450189363
128,4096,2048,8.904,241.18190116801438,1059.8814016172507
128,7168,2048,13.43,279.8284723752792,1200.4360387192853
128,8192,2048,15.263999999999998,281.3788846960168,1202.1802935010485
128,12288,2048,22.513,286.16581281925994,1210.9881401856703
128,16384,2048,28.194,304.6724335674257,1283.1053415620345
128,2048,4096,7.615,282.00704504267895,1273.7134602757715
128,4096,4096,12.503,343.5149400943773,1467.6541630008799
128,7168,4096,20.631,364.3154848528913,1518.4047307449955
128,8192,4096,22.727,377.96165758789107,1568.6885202622432
128,12288,4096,30.609000000000005,420.95141585808085,1729.9842529974842
128,16384,4096,37.48,458.37431120597665,1874.455496264675
128,2048,7168,11.23,334.6479415850401,1493.9640249332147
128,4096,7168,19.634,382.8151557502292,1615.5354996434758
128,7168,7168,75.085,175.17929471931814,720.9527335686223
128,8192,7168,33.432,449.6406298157454,1842.6609236659488
128,12288,7168,45.306,497.69519057078537,2019.3408378581205
128,16384,7168,56.628,530.917056438511,2143.3331920604646
128,2048,8192,12.043,356.635995682139,1589.0153616208588
128,4096,8192,20.796,413.05705866512795,1739.5591459896134
128,7168,8192,32.452,463.21907851596205,1902.345371625786
128,8192,8192,36.062,476.39812500693256,1948.161277799346
128,12288,8192,48.94,526.559129055987,2131.86170821414
128,16384,8192,62.84300000000001,546.7552212338684,2202.5051636618236
128,2048,12288,15.786999999999999,408.08582656616204,1809.9509723189967
128,4096,12288,114.835,112.20361290547308,470.2543997910045
128,7168,12288,42.307,532.9751176873804,2177.975654147068
128,8192,12288,47.01,548.1770639438417,2230.5381833652414
128,12288,12288,64.131,602.7460302193946,2428.0540768115266
128,16384,12288,80.596,639.4809612387711,2563.0238721524643
128,2048,16384,19.738,435.19782105583135,1925.77160806566
128,4096,16384,34.085,504.0301946310693,2107.303975355728
128,7168,16384,51.701,581.512370592445,2370.405214599331
