num_groups,expected_m_per_group,n,k,valid_m,time_us,throughput_TFLOPS,bandwidth_GBs
1,128,2048,2048,128,6.07,176.89321647446457,820.5495881383855
1,128,2048,4096,128,8.711,246.5255020089542,1083.3640225002869
1,128,2048,7168,128,13.232999999999999,283.99428580064995,1218.306959873045
1,128,2048,8192,128,15.036,285.6456036179835,1220.4096834264433
1,128,2048,12288,128,21.692,296.99663212244144,1256.8216854139775
1,128,2048,16384,128,27.996,306.82721074439206,1292.1800257179598
1,128,4096,2048,128,7.517,285.68360356525204,1290.3190102434482
1,128,4096,4096,128,11.831,363.02656546361254,1551.0168202180714
1,128,4096,7168,128,19.07,394.13700933403254,1642.6957524908235
1,128,4096,8192,128,21.262,404.00407261781584,1676.774715454802
1,128,4096,12288,128,30.427,423.46934919643735,1740.3322049495516
1,128,4096,16384,128,37.599,456.9235666906035,1868.5228862469748
1,128,7168,2048,128,10.789,348.32666456576146,1555.0297525257208
1,128,7168,4096,128,17.624,426.47485065819336,1799.7857467090334
1,128,7168,7168,128,27.927,470.98998617825043,1938.3655960181904
1,128,7168,8192,128,30.936000000000003,485.9188497543315,1991.331781742953
1,128,7168,12288,128,42.579,529.5704056929472,2148.670847131215
1,128,7168,16384,128,52.885,568.4933548643282,2295.030197598563
1,128,8192,2048,128,11.362,378.0115557120225,1684.255588804788
1,128,8192,4096,128,19.198,447.4390348994687,1884.3562871132408
1,128,8192,7168,128,30.645999999999997,490.51705070808595,2014.4525223520202
1,128,8192,8192,128,34.011,505.12684672605917,2065.6432330716534
1,128,8192,12288,128,46.762,551.0842944270988,2231.1558958128394
1,128,8192,16384,128,57.214,600.5477395043172,2419.1986576711993
1,128,12288,2048,128,15.869,405.977121683786,1800.598399395047
1,128,12288,4096,128,27.507,468.42265197949604,1963.19714981641
1,128,12288,7168,128,42.486,530.7296122016664,2168.799510426964
1,128,12288,8192,128,46.312,556.439017446882,2264.156158231128
1,128,12288,12288,128,63.922000000000004,604.716774569006,2435.9928663058104
1,128,12288,16384,128,79.088,651.6741800525996,2611.893991503136
1,128,16384,2048,128,19.649000000000004,437.1690463636825,1934.494376304137
1,128,16384,4096,128,34.066,504.31131286326536,2108.4793048787647
1,128,16384,7168,128,51.729,581.1976081501673,2369.1221558506836
1,128,16384,8192,128,57.357,599.0504797670728,2431.4487856756805
1,128,16384,12288,128,79.92,644.8899843843843,2591.263263263263
1,128,16384,16384,128,323.21000000000004,212.61556491445188,849.995086785681
1,512,2048,2048,512,8.4,511.30563047619046,873.8133333333332
1,512,2048,4096,512,12.413,692.0111650688793,1013.6882300813663
1,512,2048,7168,512,18.651,805.9828178649939,1096.30754383143
1,512,2048,8192,512,20.85,823.9745411990408,1106.4111270983212
1,512,2048,12288,512,29.223,881.8329321424907,1148.2199637272013
1,512,2048,16384,512,36.482,941.8271577216161,1207.175922372677
1,512,4096,2048,512,11.736,731.9303503749147,1161.5105657805043
1,512,4096,4096,512,18.887000000000004,909.6134475565201,1221.4047757716944
1,512,4096,7168,512,29.802,1008.8172294476881,1249.0587208912154
1,512,4096,8192,512,32.678,1051.4639319419796,1283.5253075463618
1,512,4096,12288,512,44.17100000000001,1166.8200301555316,1376.8628285526702
1,512,4096,16384,512,55.349,1241.5667263365192,1439.8051635982586
1,512,7168,2048,512,19.709,762.7168063321325,1170.4638490029934
1,512,7168,4096,512,32.663,920.4534510608335,1187.8061415056793
1,512,7168,7168,512,51.17400000000001,1028.1265755266345,1219.179114394028
1,512,7168,8192,512,56.461,1064.9747993128,1244.303005614495
1,512,7168,12288,512,83.235,1083.610418886286,1221.9844055986064
1,512,7168,16384,512,112.50900000000001,1068.8841273853645,1183.6311050671502
1,512,8192,2048,512,21.147,812.4021934080484,1239.627370312574
1,512,8192,4096,512,33.702,1019.5163007536646,1306.7530710343601
1,512,8192,7168,512,51.62,1164.849712204572,1371.1522665633477
1,512,8192,8192,512,57.265,1200.0257877586657,1391.6314677377106
1,512,8192,12288,512,82.12,1255.2266817340478,1404.570871894788
1,512,8192,16384,512,107.774,1275.2514843283168,1401.033124872418
1,512,12288,2048,512,29.632,869.6613045356371,1309.304535637149
1,512,12288,4096,512,46.735,1102.8053397239755,1391.0711886166685
1,512,12288,7168,512,74.972,1203.0399778050473,1391.6303686709705
1,512,12288,8192,512,84.435,1220.8114538283887,1390.8984662758335
1,512,12288,12288,512,120.874,1279.1735415060311,1405.3420255803564
1,512,12288,16384,512,156.39,1318.2328167274122,1421.4343116567557
1,512,16384,2048,512,37.037000000000006,927.7138636498635,1387.267435267435
1,512,16384,4096,512,60.169000000000004,1142.1076756469276,1429.0287689674085
1,512,16384,7168,512,98.387,1222.3066491304744,1401.4833667049509
1,512,16384,8192,512,111.646,1231.0244296436952,1390.0117156010965
1,512,16384,12288,512,158.768,1298.4885506399276,1413.3532197924017
1,512,16384,16384,512,205.875,1335.1689469046753,1426.1142926533091
1,2048,2048,2048,2048,18.471,930.0995714363056,908.3003627307672
1,2048,2048,4096,2048,30.125,1140.5722279834024,835.380049792531
1,2048,2048,7168,2048,48.443,1241.243154717916,779.2402617509238
1,2048,2048,8192,2048,54.129,1269.550088418408,774.8718801381884
1,2048,2048,12288,2048,80.269,1284.172159912295,731.5433853667045
1,2048,2048,16384,2048,235.392,583.8726612289288,320.7308319738989
1,2048,4096,2048,2048,120.21399999999998,285.8214381685994,244.23218593508247
1,2048,4096,4096,2048,56.262,1221.4190170274787,745.4950055099357
1,2048,4096,7168,2048,93.648,1284.1607326157527,649.4255937126261
1,2048,4096,8192,2048,324.912,423.00362397202946,206.5447382675925
1,2048,4096,12288,2048,157.364,1310.07365222033,586.3773671233572
1,2048,4096,16384,2048,200.124,1373.5379411964582,586.838719993604
1,2048,7168,2048,2048,53.074,1132.9378253758903,908.8159173983495
1,2048,7168,4096,2048,95.915,1253.808937997185,699.670166293072
1,2048,7168,7168,2048,159.157,1322.300605716368,599.5364074467349
1,2048,7168,8192,2048,180.953,1329.174805479876,579.4742281144827
1,2048,7168,12288,2048,264.889,1361.9940913514715,538.3626198143372
1,2048,7168,16384,2048,348.83,1378.9993324886048,517.0285583235387
1,2048,8192,2048,2048,73.302,937.484335161387,743.8535374205342
1,2048,8192,4096,2048,127.00100000000002,1082.187962866434,594.463602648798
1,2048,8192,7168,2048,215.362,1116.8087618799973,496.62778020263556
1,2048,8192,8192,2048,242.064,1135.5588065305042,485.1630643135699
1,2048,8192,12288,2048,357.594,1153.0307007835702,445.71092356135733
1,2048,8192,16384,2048,469.771,1170.2634132119692,428.5632616743051
1,2048,12288,2048,2048,88.082,1170.2642435911991,904.7453055107742
1,2048,12288,4096,2048,156.235,1319.5406292316063,697.9991935225781
1,2048,12288,7168,2048,263.232,1370.567609044493,581.5861901288597
1,2048,12288,8192,2048,300.05099999999993,1374.1559282122043,559.1454786019711
1,2048,12288,12288,2048,444.774,1390.5383197399128,509.2303417016283
1,2048,12288,16384,2048,590.763,1395.8790933623127,482.78695856037024
1,2048,16384,2048,2048,115.106,1194.0207588831165,910.9655448021823
1,2048,16384,4096,2048,204.535,1343.9162341115214,697.2221673552204
1,2048,16384,7168,2048,344.933,1394.5790549237097,577.588807101669
1,2048,16384,8192,2048,392.3740000000001,1401.1015354941965,555.8569324165209
1,2048,16384,12288,2048,585.431,1408.592508480077,501.5130391113555
1,2048,16384,16384,2048,779.172,1411.128258941543,473.7063857530814
1,8192,2048,2048,8192,60.824,1129.8085745100618,896.4545574115481
1,8192,2048,4096,8192,113.241,1213.685444953683,666.6973269398893
1,8192,2048,7168,8192,189.531,1269.0175674480693,564.3127087389398
1,8192,2048,8192,8192,214.616,1280.7894422783015,547.2122861296455
1,8192,2048,12288,8192,312.137,1320.9483669542542,510.6205031764899
1,8192,2048,16384,8192,411.261,1336.7564974262089,489.5348501316682
1,8192,4096,2048,8192,114.548,1199.8372164682055,805.5547717987218
1,8192,4096,4096,8192,206.128,1333.5301703019486,569.7455561592798
